leaf,kernel,mode,radius,L,neighbours,count,total,key,threshold,maxPointsLeaf
462483,cube,cartesian,3,0.976621,0,0,81,0,16,128
462475,cube,cartesian,3,0.976621,0,0,66,0,16,128
462448,cube,cartesian,3,0.976621,96,96,100,1,16,128
462449,cube,cartesian,3,0.976621,52,54,54,0,16,128
462450,cube,cartesian,3,0.976621,94,98,98,0,16,128
462439,cube,cartesian,3,0.976621,11,15,80,0,16,128
462431,cube,cartesian,3,0.976621,20,20,68,0,16,128
462436,cube,cartesian,3,0.976621,21,21,67,0,16,128
462414,cube,cartesian,3,1.95324,0,57,103,0,16,128
459722,cube,cartesian,3,3.90648,0,30,30,0,16,128
459714,cube,cartesian,3,0.976621,4,43,43,0,16,128
459715,cube,cartesian,3,0.976621,14,110,110,0,16,128
459721,cube,cartesian,3,0.976621,16,16,116,1,16,128
459712,cube,cartesian,3,0.976621,1,10,78,0,16,128
459639,cube,cartesian,3,0.976621,0,0,70,0,16,128
459482,cube,cartesian,3,3.90648,0,5,61,0,16,128
459425,cube,cartesian,3,1.95324,0,3,78,0,16,128
459426,cube,cartesian,3,0.976621,3,18,20,0,16,128
459429,cube,cartesian,3,0.976621,15,122,124,0,16,128
459418,cube,cartesian,3,1.95324,0,2,21,0,16,128
459423,cube,cartesian,3,1.95324,4,51,51,0,16,128
459424,cube,cartesian,3,1.95324,0,34,34,0,16,128
459406,cube,cartesian,3,3.90648,0,0,29,0,16,128
459407,cube,cartesian,3,3.90648,0,0,17,0,16,128
109753,cube,cartesian,3,15.6259,0,1,51,0,16,128
89627,cube,cartesian,3,3.90648,0,37,98,0,16,128
89530,cube,cartesian,3,0.488311,20,20,26,1,16,128
89533,cube,cartesian,3,0.488311,15,20,34,0,16,128
89523,cube,cartesian,3,0.488311,18,18,37,0,16,128
89524,cube,cartesian,3,0.488311,21,21,39,0,16,128
89506,cube,cartesian,3,0.488311,16,16,34,1,16,128
89509,cube,cartesian,3,0.488311,20,20,31,1,16,128
89431,cube,cartesian,3,0.488311,15,15,32,1,16,128
89432,cube,cartesian,3,0.488311,9,9,21,1,16,128
89420,cube,cartesian,3,0.488311,17,17,36,1,16,128
89422,cube,cartesian,3,0.488311,20,20,34,0,16,128
89423,cube,cartesian,3,0.488311,12,22,34,0,16,128
89412,cube,cartesian,3,0.488311,22,22,37,0,16,128
89413,cube,cartesian,3,0.488311,18,18,39,0,16,128
89398,cube,cartesian,3,1.95324,9,10,106,0,16,128
