leaf,kernel,mode,radius,L,neighbours,count,total,key,threshold,maxPointsLeaf
283710,cube,cartesian,5,0.976562,5,5,30,0,16,128
283699,cube,cartesian,5,0.976562,0,0,19,0,16,128
283686,cube,cartesian,5,1.95312,2,2,23,0,16,128
283690,cube,cartesian,5,1.95312,13,13,47,0,16,128
283691,cube,cartesian,5,1.95312,31,31,90,0,16,128
522791,cube,cartesian,5,3.90625,0,8,23,0,16,128
522817,cube,cartesian,5,3.90625,14,22,46,0,16,128
522818,cube,cartesian,5,1.95312,46,46,46,0,16,128
522819,cube,cartesian,5,1.95312,36,36,36,0,16,128
522824,cube,cartesian,5,1.95312,14,21,21,0,16,128
522783,cube,cartesian,5,1.95312,3,16,19,0,16,128
522784,cube,cartesian,5,1.95312,9,19,19,0,16,128
522789,cube,cartesian,5,1.95312,29,29,29,0,16,128
522782,cube,cartesian,5,3.90625,3,25,47,0,16,128
522094,cube,cartesian,5,7.81249,3,60,76,0,16,128
522112,cube,cartesian,5,1.95312,44,44,48,1,16,128
522116,cube,cartesian,5,1.95312,17,22,63,0,16,128
522119,cube,cartesian,5,1.95312,43,51,73,0,16,128
522105,cube,cartesian,5,1.95312,59,59,66,0,16,128
522106,cube,cartesian,5,1.95312,13,24,40,0,16,128
522107,cube,cartesian,5,1.95312,42,42,93,1,16,128
522108,cube,cartesian,5,1.95312,10,10,21,1,16,128
522109,cube,cartesian,5,1.95312,22,38,53,0,16,128
522110,cube,cartesian,5,1.95312,65,65,92,0,16,128
522099,cube,cartesian,5,1.95312,44,44,57,1,16,128
522100,cube,cartesian,5,1.95312,97,97,121,1,16,128
522101,cube,cartesian,5,1.95312,16,19,21,0,16,128
522102,cube,cartesian,5,1.95312,20,20,32,0,16,128
517338,cube,cartesian,5,1.95312,0,0,23,0,16,128
517314,cube,cartesian,5,1.95312,55,55,55,1,16,128
517315,cube,cartesian,5,1.95312,16,16,45,0,16,128
517316,cube,cartesian,5,1.95312,0,1,32,0,16,128
517317,cube,cartesian,5,1.95312,64,64,89,1,16,128
517307,cube,cartesian,5,1.95312,30,30,82,0,16,128
517308,cube,cartesian,5,1.95312,0,0,29,0,16,128
517292,cube,cartesian,5,1.95312,27,27,56,0,16,128
517293,cube,cartesian,5,1.95312,48,73,110,0,16,128
517294,cube,cartesian,5,1.95312,7,7,44,1,16,128
517304,cube,cartesian,5,1.95312,61,61,112,0,16,128
517297,cube,cartesian,5,0.976562,5,17,17,0,16,128
517299,cube,cartesian,5,0.976562,1,1,26,0,16,128
517300,cube,cartesian,5,0.976562,1,1,17,0,16,128
517301,cube,cartesian,5,0.976562,4,4,40,0,16,128
517283,cube,cartesian,5,1.95312,7,19,46,0,16,128
517286,cube,cartesian,5,1.95312,1,4,17,0,16,128
517287,cube,cartesian,5,1.95312,79,79,86,1,16,128
517290,cube,cartesian,5,1.95312,85,85,94,1,16,128
517055,cube,cartesian,5,1.95312,1,28,32,0,16,128
517053,cube,cartesian,5,3.90625,71,71,88,0,16,128
517052,cube,cartesian,5,1.95312,82,93,95,0,16,128
517044,cube,cartesian,5,0.976562,32,32,33,1,16,128
517047,cube,cartesian,5,0.976562,23,23,40,1,16,128
517050,cube,cartesian,5,0.976562,33,33,33,0,16,128
516984,cube,cartesian,5,1.95312,24,24,24,0,16,128
516985,cube,cartesian,5,1.95312,82,96,96,0,16,128
516982,cube,cartesian,5,1.95312,74,74,74,0,16,128
516983,cube,cartesian,5,1.95312,60,60,60,0,16,128
214120,cube,cartesian,5,7.81249,0,66,66,0,16,128
208217,cube,cartesian,5,7.81249,65,65,65,0,16,128
208662,cube,cartesian,5,1.95312,90,90,118,0,16,128
208663,cube,cartesian,5,1.95312,32,32,35,0,16,128
208658,cube,cartesian,5,1.95312,23,91,105,0,16,128
208651,cube,cartesian,5,0.976562,2,2,55,0,16,128
208652,cube,cartesian,5,0.976562,12,12,24,0,16,128
208655,cube,cartesian,5,0.976562,5,5,41,0,16,128
208632,cube,cartesian,5,0.976562,0,18,18,0,16,128
208634,cube,cartesian,5,0.976562,0,0,33,0,16,128
208635,cube,cartesian,5,0.976562,0,12,30,0,16,128
208593,cube,cartesian,5,1.95312,0,24,24,0,16,128
208606,cube,cartesian,5,1.95312,0,0,34,1,16,128
208601,cube,cartesian,5,0.976562,7,7,55,1,16,128
208507,cube,cartesian,5,1.95312,114,114,115,0,16,128
