kernel,radius,mode,get_range_time,loop_time,projectionTime,binarySearchTime,threshold,maxPointsLeaf
sphere,2.000000,polar,0.0,0.0,2.3476e-05,1.3602e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2912e-05,3.118e-05,32,256
sphere,2.000000,polar,0.0,0.0,5.998e-06,7.492e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.0933e-05,1.9222e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0633e-05,2.1574e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.876e-06,2.5185e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1579e-05,3.8e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1409e-05,3.9861e-05,32,256
sphere,2.000000,polar,0.0,0.0,2.993e-06,9.697e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.6543e-05,4.5978e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.711e-06,1.2577e-05,32,256
sphere,2.000000,polar,0.0,0.0,6.457e-06,1.4996e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.381e-06,2.4762e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.005e-06,1.717e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.155e-06,2.3981e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.729e-06,2.9727e-05,32,256
sphere,2.000000,polar,0.0,0.0,5.847e-06,5.701e-06,32,256
sphere,2.000000,polar,0.0,0.0,8.089e-06,1.9745e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0325e-05,3.1329e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.814e-06,1.9189e-05,32,256
sphere,2.000000,polar,0.0,0.0,4.223e-06,7.622e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.239e-05,3.3408e-05,32,256
sphere,2.000000,polar,0.0,0.0,6.5315e-05,4.6502e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.703e-06,2.2851e-05,32,256
sphere,2.000000,polar,0.0,0.0,2.8879e-05,4.9933e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1676e-05,3.7901e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0413e-05,3.5257e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.739e-06,1.3548e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.8125e-05,4.9066e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.835e-06,2.4704e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.251e-06,2.8364e-05,32,256
sphere,2.000000,polar,0.0,0.0,5.299e-06,1.2441e-05,32,256
sphere,2.000000,polar,0.0,0.0,3.924e-06,2.976e-06,32,256
sphere,2.000000,polar,0.0,0.0,5.547e-06,8.08e-06,32,256
sphere,2.000000,polar,0.0,0.0,2.1692e-05,3.0338e-05,32,256
sphere,2.000000,polar,0.0,0.0,5.606e-06,1.137e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2955e-05,3.274e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.321e-06,2.8156e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.043e-06,1.6877e-05,32,256
sphere,2.000000,polar,0.0,0.0,0.000330944,1.9737e-05,32,256
sphere,2.000000,polar,0.0,0.0,4.018e-06,8.541e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.1595e-05,2.0794e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.936e-06,2.6248e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.397e-06,2.8213e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0239e-05,2.9279e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.014e-06,2.2354e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.684e-06,2.3813e-05,32,256
sphere,2.000000,polar,0.0,0.0,2.306e-06,6.751e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.0722e-05,3.2814e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.187e-06,1.6814e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1514e-05,2.9933e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.769e-06,2.9213e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.3637e-05,3.6815e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.812e-06,2.7183e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1954e-05,2.9485e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.6549e-05,4.1891e-05,32,256
sphere,2.000000,polar,0.0,0.0,6.809e-06,1.0378e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.6261e-05,4.6881e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0646e-05,3.26e-05,32,256
sphere,2.000000,polar,0.0,0.0,4.638e-06,7.376e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.0449e-05,3.2022e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.459e-06,2.4184e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.135e-06,1.7237e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1416e-05,3.2969e-05,32,256
sphere,2.000000,polar,0.0,0.0,6.022e-06,1.3997e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.023e-05,2.7277e-05,32,256
sphere,2.000000,polar,0.0,0.0,6.865e-06,1.6164e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.254e-06,2.8661e-05,32,256
sphere,2.000000,polar,0.0,0.0,4.592e-06,1.3041e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1401e-05,3.2688e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.745e-06,1.723e-05,32,256
sphere,2.000000,polar,0.0,0.0,3.981e-06,1.0669e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.4e-06,1.9634e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.2e-06,2.6778e-05,32,256
sphere,2.000000,polar,0.0,0.0,4.628e-06,1.0617e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.22e-06,2.0773e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.58e-06,7.373e-06,32,256
sphere,2.000000,polar,0.0,0.0,7.247e-06,1.9919e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2644e-05,3.415e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0036e-05,2.3571e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0745e-05,3.3472e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.742e-06,2.6887e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0327e-05,2.2891e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.914e-06,2.6992e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0047e-05,1.8282e-05,32,256
sphere,2.000000,polar,0.0,0.0,5.533e-06,9.883e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.3382e-05,3.6248e-05,32,256
